METHOD_NAME;ANSWER
1) prepareResponse();Strongly disapprove
2) prepareResponse();Strongly disapprove
3) readMessage(AjpMessage);Weakly disapprove
4) parseHeaderLine(FileItemHeadersImpl, String);Weakly disapprove
5) getRemoteAddr();Strongly disapprove
6) matchRequest(Request);Weakly approve
7) saveRequest(Request, Session);Weakly disapprove
8) restoreRequest(Request, Session);Strongly disapprove
9) hasUserDataPermission(Request, Response, SecurityConstraint);Strongly disapprove
10) convertURI(MessageBytes, Request);Weakly disapprove
11) parseSessionSslId(Request);Weakly approve
12) convertMB(MessageBytes);Weakly approve
13) mergeMultipartDef(MultipartDef, MultipartDef, boolean);Strongly approve
14) mergeServlet(ServletDef, ServletDef, boolean);Strongly approve
15) parseName();Strongly disapprove
16) validateFilterMap(FilterMap);Weakly disapprove
17) buildInjectionMap(NamingResources);Weakly approve
18) pushChar();Strongly disapprove
19) nextChar();Strongly disapprove
20) periodicEvent();Strongly disapprove
21) setDispatcher(String);Strongly disapprove
22) javacError(JavacErrorDetail);Strongly disapprove
23) handle(Callback);Strongly disapprove
24) handle(Callback);Strongly disapprove
25) prepareResponse();Strongly disapprove
26) prepareResponse();Strongly disapprove
27) createProcessor();Weakly approve
28) doSmap(Node, int, int, int);Strongly disapprove
29) dispatch(Mark, String, Object, Exception);Strongly disapprove
30) doIsEncodeable(Request, Session, String);Strongly disapprove
31) configureInjectionRules(Digester, String);Weakly disapprove
32) getView();Strongly disapprove
33) getCoordinator();Strongly disapprove
34) createData(CoordinationMessage, MemberImpl);Strongly approve
35) write(ByteBuffer, NioChannel, long, MutableInteger);Weakly approve
36) read(ByteBuffer, NioChannel, long);Weakly approve
37) cancel(SelectionKey, KeyAttachment, int);Strongly disapprove
38) login();Strongly disapprove
39) login();Strongly disapprove
40) messageReceived(ClusterMessage);Weakly approve
41) getSession(String, String);Strongly disapprove
42) addEscapes(String);Strongly disapprove
43) publishEntryInfo(Object, Object);Strongly disapprove
44) publishEntryInfo(Object, Object);Strongly disapprove
45) process(Reader, long, PrintWriter);Weakly disapprove
46) process(Reader, long, PrintWriter);Strongly disapprove
47) checkIfMatch(HttpServletRequest, HttpServletResponse, ResourceAttributes);Strongly disapprove
48) checkIfUnmodifiedSince(HttpServletRequest, HttpServletResponse, ResourceAttributes);Strongly disapprove
49) parseRange(HttpServletRequest, HttpServletResponse, ResourceAttributes);Strongly disapprove
50) checkIfNoneMatch(HttpServletRequest, HttpServletResponse, ResourceAttributes);Strongly disapprove
51) checkIfModifiedSince(HttpServletRequest, HttpServletResponse, ResourceAttributes);Strongly disapprove
52) begin(String, String, Attributes);Strongly disapprove
