METHOD_NAME;ANSWER
1) addPlugin(Plugin);Strongly disapprove
2) canSatisfy();Strongly disapprove
3) install(Roster, String, boolean);Strongly disapprove
4) install(Roster, String, boolean);Strongly disapprove
5) startPlugin();Strongly disapprove
6) print(View, Buffer, boolean);Weakly disapprove
7) print(View, Buffer, boolean);Strongly disapprove
8) actionPerformed(ActionEvent);Strongly disapprove
9) searchInSelection(Buffer);Strongly disapprove
10) doHyperSearch(Buffer, int, int, DefaultMutableTreeNode);Strongly disapprove
11) addSeparator();Strongly disapprove
12) addSeparator();Strongly disapprove
13) addRule(ParserRule);Strongly disapprove
14) handleClient(boolean, boolean, boolean, String, String);Weakly approve
15) handleClient(boolean, String, String);Weakly disapprove
16) handleClient(boolean, String, String);Strongly disapprove
17) getTableCellRendererComponent(JTable, Object, boolean, boolean, int, int);Weakly disapprove
18) getTableCellRendererComponent(JTable, Object, boolean, boolean, int, int);Weakly disapprove
19) ok();Strongly disapprove
20) paintScreenLineRange(JEditTextArea, Graphics2D, int, int, int, int);Weakly disapprove
21) paste(JEditTextArea, char, boolean);Strongly disapprove
22) paste(JEditTextArea, char, boolean);Weakly approve
23) writeEntryHeader(byte);Weakly approve
24) nameTarHeader(TarHeader, String);Weakly approve
25) getFileTarHeader(TarHeader, File);Weakly approve
26) parseTarHeader(TarHeader, byte);Weakly approve
27) traverseNamedElement(Element, Object, XSDocumentInfo, SchemaGrammar, boolean, XSObject);Weakly disapprove
28) mergeAttributes(XSAttributeGroupDecl, XSAttributeGroupDecl, String, boolean, Element);Strongly disapprove
29) mergeAttributes(XSAttributeGroupDecl, XSAttributeGroupDecl, String, boolean, Element);Strongly disapprove
30) mergeAttributes(XSAttributeGroupDecl, XSAttributeGroupDecl, String, boolean, Element);Strongly disapprove
31) getErrorContent();Weakly approve
32) startNamespaceScope(QName, XMLAttributes, Augmentations);Strongly disapprove
33) startNamespaceScope(QName, XMLAttributes, Augmentations);Strongly disapprove
34) checkFeature(String);Strongly disapprove
35) normalizeDefaultAttrValue(XMLString);Weakly approve
36) appendContentSpec(XMLContentSpec, StringBuffer, boolean, int);Weakly approve
37) contentSpecTree(int, XMLContentSpec, ChildrenList);Weakly disapprove
38) buildSyntaxTree(int, XMLContentSpec);Weakly disapprove
39) parse(String, int);Strongly disapprove
40) canSetParameter(String, Object);Weakly disapprove
41) getParameterNames();Weakly disapprove
42) isDerivedFrom(String, String, int);Strongly disapprove
43) setPrefix(String);Strongly disapprove
44) setPrefix(String);Strongly disapprove
45) traverseSyntheticAnnotation(Element, String, Object, boolean, XSDocumentInfo);Weakly disapprove
46) traverseAttrsAndAttrGrps(Element, XSAttributeGroupDecl, XSDocumentInfo, SchemaGrammar, XSComplexTypeDecl);Strongly disapprove
47) scanTextDecl();Strongly disapprove
48) scanTextDecl();Strongly disapprove
49) getBaseURI();Strongly disapprove
50) traverseNamedAttr(Element, Object, XSDocumentInfo, SchemaGrammar, boolean, XSComplexTypeDecl);Weakly disapprove
51) traverseNamedAttr(Element, Object, XSDocumentInfo, SchemaGrammar, boolean, XSComplexTypeDecl);Weakly disapprove
52) setPrefix(String);Strongly disapprove
