METHOD_NAME;Antoine;Satnam;Tomasz
1) hasConnection(Connection);Weakly disapprove;Strongly disapprove;Weakly disapprove
2) sendNewSubmitPdu(String, String, String, SmsHeader, int, PendingIntent, PendingIntent, boolean);Weakly approve;Strongly disapprove;Weakly approve
3) handleServiceCategoryProgramData(SmsMessage);Strongly disapprove;Weakly disapprove;Weakly approve
4) handleServiceCategoryProgramData(SmsMessage);Strongly disapprove;Weakly disapprove;Strongly disapprove
5) createSmsCbMessage(SmsCbHeader, SmsCbLocation, byte);Weakly disapprove;Weakly approve;Weakly approve
6) dispatchNormalMessage(SmsMessageBase);Weakly approve;Weakly approve;Strongly disapprove
7) dispatchNormalMessage(SmsMessageBase);Weakly disapprove;Weakly disapprove;Weakly disapprove
8) checkDestination(SmsTracker);Weakly approve;Strongly disapprove;Strongly disapprove
9) dispatch(Intent, String, BroadcastReceiver);Strongly disapprove;I don't know / I don't want to answer;Strongly disapprove
10) dispatch(Intent, String, BroadcastReceiver);Strongly disapprove;Strongly disapprove;Strongly disapprove
11) getDefaultCdmaSubscriptionSource();Strongly disapprove;Weakly disapprove;Strongly disapprove
12) getDefaultCdmaSubscriptionSource();Strongly disapprove;Weakly approve;Strongly disapprove
13) dispose();Strongly disapprove;Strongly approve;Weakly disapprove
14) getCmasMessageClass();Weakly approve;Weakly disapprove;Weakly approve
15) createFromCursor(Cursor);Weakly disapprove;Strongly disapprove;Strongly disapprove
16) createFromCursor(Cursor);Strongly disapprove;Weakly approve;Strongly disapprove
17) isEmergencyAlertMessage();Weakly approve;Weakly disapprove;Strongly approve
18) retrieveCommandDetails(ComprehensionTlv);Weakly approve;Weakly disapprove;Weakly approve
19) updatePhoneObject(int);Strongly disapprove;Weakly approve;Strongly disapprove
20) compareTo(DriverCall);Strongly disapprove;Strongly approve;Weakly disapprove
21) pollStateDone();Strongly disapprove;Weakly disapprove;Strongly disapprove
22) sendEmergencyCallbackModeChange();Strongly disapprove;Weakly approve;Strongly disapprove
23) handlePollCalls(AsyncResult);Strongly disapprove;Strongly disapprove;Weakly approve
24) getDataCallState(Parcel, int);Strongly approve;Weakly disapprove;Strongly approve
25) setGsmBroadcastConfig(SmsBroadcastConfigInfo, Message);Weakly approve;Weakly approve;Weakly approve
26) translateStatus(int);Weakly disapprove;Strongly disapprove;Weakly approve
27) responseCallForward(Parcel);Weakly approve;Weakly disapprove;Weakly approve
28) responseCdmaCallWaiting(Parcel);Strongly approve;Weakly disapprove;Strongly approve
29) responseSuppServiceNotification(Parcel);Strongly approve;Weakly approve;Strongly approve
30) responseIccCardStatus(Parcel);Weakly approve;Weakly approve;Strongly approve
31) responseIccCardStatus(Parcel);Weakly disapprove;Weakly approve;Weakly approve
32) getDataActivityState();Strongly disapprove;Weakly approve;Strongly approve
33) getSubmitPdu(String, String, int, byte, boolean);Weakly disapprove;Strongly disapprove;Weakly disapprove
34) getSubmitPdu(String, String, int, byte, boolean);Weakly disapprove;Strongly disapprove;Weakly approve
35) getIncomingSmsFingerprint();Weakly approve;Weakly disapprove;Strongly approve
36) decodeUserDataPayload(UserData, boolean);Strongly disapprove;Strongly approve;Weakly approve
37) getBitsForNumFields(int, int);Strongly disapprove;Weakly disapprove;Weakly approve
38) serviceCategoryToCmasMessageClass(int);Weakly disapprove;Strongly disapprove;Weakly disapprove
39) serviceCategoryToCmasMessageClass(int);Weakly disapprove;Strongly disapprove;Weakly disapprove
40) decodeIs91(BearerData);Strongly disapprove;Strongly approve;Strongly disapprove
41) encode16bitEms(UserData, byte);Strongly disapprove;Weakly approve;Weakly approve
42) decodeUserData(BearerData, BitwiseInputStream);Strongly disapprove;Strongly approve;Strongly approve
43) encodeEmsUserDataPayload(UserData);Strongly disapprove;Weakly approve;Weakly disapprove
44) decode7bitAscii(byte, int, int);Strongly disapprove;Strongly disapprove;Strongly disapprove
45) setLinkProperties(DataCallState, LinkProperties);Strongly approve;Strongly approve;Weakly approve
46) checkMtFindNewRinging(DriverCall, int);Strongly disapprove;Weakly approve;Strongly disapprove
47) setPropertiesByCarrier();Strongly disapprove;Weakly approve;Strongly disapprove
48) setPropertiesByCarrier();Strongly disapprove;Weakly approve;Strongly disapprove
49) getCurrentUiccAppType();Strongly disapprove;Weakly disapprove;Strongly disapprove
50) make(BerTlv);Strongly disapprove;Strongly approve;Strongly disapprove
51) compareTo(DriverCall);Weakly disapprove;Strongly approve;Weakly approve
52) getCmasSeverity();Strongly disapprove;Weakly approve;Weakly disapprove
