METHOD_NAME;Antoine;Cristiano;Tomasz
1) actionPerformed(ActionEvent);Weakly disapprove;Strongly disapprove;Weakly disapprove
2) parseFile(Project, Object, DiagramInterface, Import);Weakly disapprove;Weakly disapprove;Strongly disapprove
3) parseFile(Project, Object, DiagramInterface, Import);Strongly disapprove;Strongly disapprove;Strongly disapprove
4) addClass(Object, boolean);Strongly disapprove;Strongly disapprove;Strongly disapprove
5) addInterface(Object, boolean);Strongly disapprove;Strongly disapprove;Strongly disapprove
6) findDiagramMemberByUniqueName(Project, String);Weakly disapprove;Weakly disapprove;Strongly approve
7) placeElements();Strongly disapprove;Strongly disapprove;Strongly disapprove
8) placeElements();Strongly disapprove;Strongly disapprove;Strongly disapprove
9) actionPerformed(ActionEvent);Weakly disapprove;Strongly disapprove;Weakly disapprove
10) actionPerformed(ActionEvent);Weakly disapprove;Weakly disapprove;Weakly disapprove
11) buildModelList();Strongly disapprove;Strongly disapprove;Strongly disapprove
12) buildModelList();Strongly disapprove;Strongly disapprove;Strongly disapprove
13) removeInteraction(Object, Object);Strongly disapprove;Strongly disapprove;Strongly disapprove
14) handle(Throwable);Strongly disapprove;Strongly disapprove;Strongly disapprove
15) handle(Throwable);Strongly disapprove;Strongly disapprove;Strongly disapprove
16) getChildren(Object);Strongly disapprove;Strongly disapprove;Strongly disapprove
17) setFromActionNode(int, int);Weakly approve;Weakly disapprove;Strongly disapprove
18) getStereotypeSelector();Strongly disapprove;Strongly disapprove;Strongly disapprove
19) actionPerformed(ActionEvent);Strongly disapprove;Strongly disapprove;Weakly disapprove
20) actionPerformed(ActionEvent);Strongly disapprove;Strongly disapprove;Strongly disapprove
21) predicate2(Object, Designer);Strongly disapprove;Strongly disapprove;Strongly disapprove
22) swap(int, int);Strongly disapprove;Strongly disapprove;Weakly disapprove
23) actionPerformed(ActionEvent);Weakly disapprove;Weakly disapprove;Weakly disapprove
24) shouldBeEnabled();Weakly disapprove;Weakly disapprove;Weakly disapprove
25) swap(int, int);Strongly disapprove;Strongly disapprove;Weakly approve
26) swap(int, int);Strongly disapprove;Strongly disapprove;Weakly approve
27) init();Weakly approve;Weakly approve;Strongly approve
28) putToolTip(String);Strongly disapprove;Strongly disapprove;Weakly approve
29) actionPerformed(ActionEvent);Weakly disapprove;Weakly disapprove;Weakly disapprove
30) computeOffenders(UMLDeploymentDiagram);Strongly disapprove;Strongly disapprove;Weakly disapprove
31) setTarget(Object);Strongly disapprove;Strongly disapprove;Strongly disapprove
32) write(BufferedReader, BufferedWriter, Stack);Weakly approve;Weakly approve;Weakly disapprove
33) goToSelectedMarker();Weakly disapprove;Strongly disapprove;Weakly disapprove
34) install();Strongly disapprove;Strongly disapprove;Strongly disapprove
35) handleEditPaneUpdate(EditPaneUpdate);Weakly disapprove;Strongly disapprove;Strongly disapprove
36) handleMessage(EBMessage);Strongly disapprove;Strongly disapprove;Strongly disapprove
37) handleMessage(EBMessage);I don't know / I don't want to answer;Strongly disapprove;Strongly disapprove
38) handleBufferUpdate(BufferUpdate);Weakly disapprove;Strongly disapprove;Weakly disapprove
39) processKeyEvent(KeyEvent, boolean);Strongly disapprove;Strongly disapprove;Strongly disapprove
40) processKeyEvent(KeyEvent);Strongly disapprove;Strongly disapprove;Strongly disapprove
41) goToBuffer(Buffer);Strongly disapprove;Strongly disapprove;Strongly disapprove
42) goToBuffer(Buffer);Strongly disapprove;Strongly disapprove;Weakly disapprove
43) setText(String);Weakly approve;Weakly approve;Strongly approve
44) addExplicitFold(int, int, int, int);Weakly approve;Weakly disapprove;Strongly approve
45) endElement(String);Strongly disapprove;Strongly disapprove;Strongly disapprove
46) endElement(String);Strongly disapprove;Strongly disapprove;Strongly disapprove
47) connect();Strongly disapprove;Strongly disapprove;Strongly disapprove
48) actionPerformed(ActionEvent);Strongly disapprove;Weakly disapprove;I don't know / I don't want to answer
49) goToParent();Weakly approve;Weakly approve;Strongly disapprove
50) getAppropriateCursor();Weakly disapprove;Weakly approve;Strongly disapprove
51) globToRE(String);Strongly disapprove;Strongly disapprove;Strongly disapprove
52) globToRE(String);Strongly disapprove;Strongly disapprove;Strongly disapprove
