METHOD_NAME;Antoine;Vaibhav;Cristiano
1) getCmasCertainty();Strongly disapprove;Strongly disapprove;Strongly disapprove
2) getCmasMessageClass();Strongly disapprove;Strongly disapprove;Strongly disapprove
3) getCmasMessageClass();Strongly disapprove;Strongly disapprove;Weakly disapprove
4) getCmasUrgency();Strongly disapprove;Strongly disapprove;Strongly disapprove
5) mergeShortCodeCategories(int, int);Strongly disapprove;Strongly disapprove;Strongly disapprove
6) handleCmdResponse(CatResponseMessage);Strongly disapprove;Strongly approve;Strongly disapprove
7) setAdditionalInfo(int);Strongly disapprove;Strongly disapprove;Strongly disapprove
8) createApnList(Cursor);Strongly disapprove;Weakly approve;Weakly approve
9) dispose();Strongly disapprove;Weakly approve;Strongly disapprove
10) applyNewState(ApnContext, boolean, boolean);Strongly approve;Weakly approve;Weakly disapprove
11) instantiate(FragmentActivity);Strongly disapprove;Weakly approve;Strongly disapprove
12) updateText(int, PagerAdapter);Strongly disapprove;Strongly approve;Strongly disapprove
13) updateAdapter(PagerAdapter, PagerAdapter);Strongly disapprove;Weakly disapprove;Strongly disapprove
14) onDetachedFromWindow();Weakly disapprove;Strongly disapprove;Weakly approve
15) startActivities(Bundle);Strongly disapprove;Strongly disapprove;Strongly disapprove
16) getPageWidth(int);Strongly disapprove;Strongly disapprove;Strongly disapprove
17) getPageWidth(int);Strongly disapprove;Strongly disapprove;Strongly disapprove
18) saveFragmentInstanceState(Fragment);Weakly disapprove;Weakly approve;Weakly approve
19) dispatchOptionsItemSelected(MenuItem);Weakly disapprove;I don't know / I don't want to answer;Weakly approve
20) startPendingDeferredFragments();Strongly disapprove;Strongly disapprove;Strongly disapprove
21) makeInactive(Fragment);Strongly disapprove;Strongly disapprove;Strongly disapprove
22) dispatchStop();Strongly disapprove;Strongly disapprove;Weakly disapprove
23) saveFragmentViewState(Fragment);Strongly disapprove;Strongly approve;Strongly disapprove
24) dispatchPrepareOptionsMenu(Menu);Weakly disapprove;Strongly disapprove;Weakly approve
25) reverseTransit(int);Weakly disapprove;Strongly disapprove;Weakly approve
26) dispatchOptionsMenuClosed(Menu);Weakly disapprove;Strongly disapprove;Weakly approve
27) doAddOp(int, Fragment, String, int);Strongly approve;Strongly approve;Weakly approve
28) dump(String, FileDescriptor, PrintWriter, String);Strongly disapprove;Weakly approve;Weakly disapprove
29) setInitialSavedState(SavedState);Strongly disapprove;Weakly disapprove;Strongly disapprove
30) onViewCreated(View, Bundle);Strongly disapprove;I don't know / I don't want to answer;Strongly disapprove
31) onViewCreated(View, Bundle);Strongly disapprove;I don't know / I don't want to answer;Strongly disapprove
32) setAptCommandlineSwitches(Apt, Commandline);Strongly disapprove;Weakly approve;Weakly approve
33) innerCreateAndSet(Class, Project);Strongly disapprove;Weakly disapprove;Weakly disapprove
34) setupJasperCommand();Weakly disapprove;Strongly disapprove;Weakly approve
35) execOnVMS(Commandline, int);Weakly disapprove;Strongly disapprove;Weakly disapprove
36) getSystemId(File);Weakly approve;Strongly disapprove;Strongly disapprove
37) displaySpecification(Specification);Strongly disapprove;Strongly disapprove;Weakly disapprove
38) execute();Strongly disapprove;Strongly approve;Strongly disapprove
39) setJar(File);Weakly approve;Strongly disapprove;Weakly approve
40) resolveClassName(String);Strongly disapprove;Strongly disapprove;Strongly disapprove
41) resolveClassName(String);Strongly disapprove;Strongly disapprove;Strongly disapprove
42) execute();Strongly disapprove;I don't know / I don't want to answer;Weakly disapprove
43) execute();Strongly disapprove;Strongly disapprove;Strongly disapprove
44) scan();Strongly disapprove;Strongly approve;Strongly approve
45) accountForIncludedFile(String);Strongly disapprove;Strongly disapprove;Weakly approve
46) newInstance(AggregateTransformer);Strongly disapprove;Strongly approve;Strongly disapprove
47) newInstance(AggregateTransformer);Strongly disapprove;Strongly approve;Weakly disapprove
48) getOutputStream();Strongly disapprove;Strongly disapprove;Strongly disapprove
49) getOutputStream();Strongly disapprove;Strongly disapprove;Weakly disapprove
50) setExecutable(String);Strongly disapprove;Strongly disapprove;Strongly disapprove
51) substitute(String, String, int);Strongly disapprove;Weakly approve;Strongly disapprove
52) getCompiledPattern(int);Strongly disapprove;Strongly disapprove;Strongly disapprove
