ClassName;Type;Value;Bound
org.apache.cayenne.MockDataObject;LargeClass;33.0;23.0
org.apache.cayenne.map.ObjEntity;LargeClass;92.0;23.0
org.apache.cayenne.map.DbEntity;LargeClass;42.0;23.0
org.apache.cayenne.map.ProcedureParameter;LargeClass;30.0;23.0
org.apache.cayenne.map.ProcedureParameter;ControllerClass;0;0
org.apache.cayenne.modeler.dialog.autorelationship.InferRelationshipsControllerBase;ControllerClass;0;0
org.apache.cayenne.modeler.dialog.autorelationship.InferRelationshipsTabController;ControllerClass;0;0
org.apache.cayenne.modeler.dialog.autorelationship.InferRelationshipsControllerBase;LargeClass;30.0;23.0
org.apache.cayenne.modeler.dialog.codegen.ClassesTabController;ControllerClass;0;0
org.apache.cayenne.modeler.dialog.codegen.CustomModeController;ControllerClass;0;0
org.apache.cayenne.modeler.dialog.codegen.GeneratorTabController;ControllerClass;0;0
org.apache.cayenne.modeler.dialog.codegen.StandardModeController;ControllerClass;0;0
org.apache.cayenne.modeler.dialog.db.MergerTokenSelectorController;ControllerClass;0;0
org.apache.cayenne.modeler.dialog.db.MergerTokenSelectorController;LargeClass;24.0;23.0
org.apache.cayenne.modeler.dialog.db.TableSelectorController;ControllerClass;0;0
org.apache.cayenne.modeler.dialog.objentity.ObjAttributeInfoDialog;LargeClass;32.0;23.0
org.apache.cayenne.modeler.editor.datanode.MainDataNodeEditor;LargeClass;26.0;23.0
org.apache.cayenne.modeler.util.LongRunningTask;LargeClass;28.0;23.0
